Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale
2845,P,Contini,Napoli,1,1,0.0,1.000,1,1,0,1
6662,P,Corvi,Parma,1,1,0.0,1.000,1,1,0,1
5338,P,Rinaldi,Parma,1,,,1.000,1,1,0,1
2271,P,Nicolas,Pisa,1,,,1.000,1,1,0,1
7169,P,Zelezny,Roma,1,,,1.000,1,1,0,1
610,P,Gollini,Roma,1,1,0.0,1.000,1,1,0,1
2127,P,Satalino,Sassuolo,1,,,1.000,1,1,0,1
5320,P,Paleari,Torino,1,1,0.0,1.000,1,1,0,1
6210,P,Popa,Torino,1,,,1.000,1,1,0,1
543,P,Padelli,Udinese,1,1,0.0,1.000,1,1,0,1
511,P,Perilli,Verona,1,1,0.0,1.000,1,1,0,1
6125,P,Vasquez D.,Roma,1,9,-8.0,1.000,1,1,0,1
7185,P,Nunziante,Udinese,1,,,1.000,1,1,0,1
158,P,Lezzerini,Fiorentina,1,,,1.000,1,1,0,1
2211,P,Silvestri,Cremonese,1,1,0.0,1.000,1,1,0,1
7236,P,Toniolo,Verona,1,,,1.000,1,1,0,1
7261,P,Cavlina,Como,1,,,1.000,1,1,0,1
5513,D,Dumfries,Inter,107,105,2.0,5.350,20,19,1,107
254,D,Dimarco,Inter,94,98,-4.0,5.222,18,18,0,94
2160,D,Gosens,Fiorentina,83,74,9.0,4.882,17,17,0,83
2120,D,Bastoni,Inter,76,86,-10.0,4.471,17,16,1,76
4433,D,Zortea,Bologna,24,83,-43.0,2.667,15,15,0,40
4772,D,Angelino,Roma,52,50,2.0,3.714,14,14,0,52
7181,D,Wesley,Roma,52,,,3.714,14,13,1,52
5520,D,Cambiaso,Juventus,56,36,20.0,4.308,13,14,-1,56
2816,D,Di Lorenzo,Napoli,53,66,-13.0,3.786,14,14,0,53
4887,D,Bellanova,Atalanta,51,55,-4.0,4.250,12,12,0,51
554,D,Zappacosta,Atalanta,30,33,-3.0,2.500,12,12,0,30
2788,D,Bremer,Juventus,50,39,11.0,3.846,13,13,0,50
2724,D,Buongiorno,Napoli,42,57,-15.0,3.231,13,13,0,42
5885,D,Dodò,Fiorentina,44,,,4.000,11,10,1,44
5620,D,Tavares N.,Lazio,43,36,7.0,3.583,12,12,0,43
5273,D,Estupinan,Milan,39,,,3.250,12,11,1,39
4409,D,Rrahmani,Napoli,32,54,-22.0,2.909,11,11,0,32
2296,D,Mancini,Roma,30,33,-3.0,2.727,11,11,0,30
4317,D,N'Dicka,Roma,26,27,-1.0,2.364,11,10,1,26
6956,D,Solet,Udinese,40,42,-2.0,3.636,11,11,0,40
6046,D,Hien,Atalanta,34,21,13.0,3.400,10,11,-1,34
5514,D,Vasquez,Genoa,23,38,-18.0,1.818,11,10,1,20
2593,D,Martin,Genoa,32,52,-20.0,3.200,10,10,0,32
5877,D,Carlos Augusto,Inter,35,33,-2.0,2.818,11,11,0,31
5840,D,Olivera,Napoli,21,20,1.0,2.100,10,10,0,21
5862,D,Valeri,Parma,27,31,-4.0,2.700,10,10,0,27
393,D,Luperto,Cagliari,18,21,-3.0,2.000,9,7,2,18
513,D,Acerbi,Inter,26,28,-2.0,2.889,9,9,0,26
4976,D,Kalulu,Juventus,31,23,5.0,2.800,10,10,0,28
5833,D,Gila,Lazio,20,22,-2.0,2.222,9,9,0,20
5835,D,Baschirotto,Cremonese,23,18,5.0,2.556,9,8,1,23
5022,D,Pavlovic,Milan,21,16,5.0,2.333,9,7,2,21
6202,D,Beukema,Napoli,18,24,-6.0,2.000,9,10,-1,18
6664,D,Delprato,Parma,24,22,-1.0,2.100,10,9,1,21
4159,D,Akanji,Inter,20,,,2.222,9,9,0,20
787,D,Djimsiti,Atalanta,15,23,-8.0,1.875,8,8,0,15
5526,D,Scalvini,Atalanta,24,7,17.0,3.000,8,8,0,24
5578,D,Kossounou,Atalanta,24,13,9.0,2.750,8,9,-1,22
6042,D,Lucumì,Bologna,21,,,2.625,8,8,0,21
7068,D,Vitik,Bologna,18,,,2.250,8,8,0,18
4734,D,Miranda J.,Bologna,21,30,-9.0,2.625,8,9,-1,21
6495,D,Comuzzo,Fiorentina,17,14,3.0,2.125,8,7,1,17
4378,D,Ranieri L.,Fiorentina,17,16,0.0,2.000,8,7,1,16
6217,D,Bisseck,Inter,20,25,-5.0,2.500,8,9,-1,20
322,D,De Vrij,Inter,20,25,-5.0,2.500,8,9,-1,20
5831,D,Gatti,Juventus,13,15,-2.0,1.625,8,8,0,13
7175,D,Joao Mario,Juventus,14,,,2.429,7,7,0,17
2188,D,Marusic,Lazio,26,29,-6.0,2.556,9,9,0,23
6632,D,Gaspar K.,Lecce,19,22,-3.0,2.375,8,8,0,19
4751,D,Tomori,Milan,25,18,7.0,3.125,8,8,0,25
6642,D,Coco,Torino,12,20,-8.0,1.500,8,8,0,12
252,D,Biraghi,Torino,23,18,5.0,2.875,8,8,0,23
5678,D,Holm,Bologna,15,12,3.0,2.143,7,8,-1,15
4210,D,Mina,Cagliari,21,23,-2.0,3.000,7,7,0,21
4994,D,Vojvoda,Como,13,17,-4.0,1.857,7,6,1,13
5739,D,De Winter,Milan,19,22,-5.0,2.125,8,9,-1,17
6766,D,Kelly L.,Juventus,17,13,1.0,1.750,8,8,0,14
460,D,Romagnoli,Lazio,22,27,-5.0,3.143,7,8,-1,22
4401,D,Gabbia,Milan,16,12,4.0,2.286,7,6,1,16
1852,D,Spinazzola,Napoli,18,22,-12.0,1.429,7,7,0,10
5010,D,Ismajli,Torino,13,21,-8.0,1.857,7,8,-1,13
4665,D,Maripan,Torino,13,21,-8.0,1.857,7,7,0,13
6485,D,Kristensen T.,Udinese,13,10,2.0,1.714,7,5,2,12
5555,D,Kamara H.,Udinese,19,14,5.0,2.714,7,7,0,19
697,D,Cuadrado,Pisa,12,15,-2.0,2.167,6,6,0,13
6672,D,Idzes,Sassuolo,17,18,-1.0,2.429,7,7,0,17
5427,D,Gutierrez,Napoli,18,,,2.571,7,8,-1,18
2640,D,Kolasinac,Atalanta,18,21,-6.0,2.500,6,7,-1,15
6916,D,Ahanor,Atalanta,12,5,4.0,1.500,6,7,-1,9
4461,D,Zappa,Cagliari,16,16,-3.0,1.857,7,7,0,13
6893,D,Kempf,Como,15,14,1.0,2.500,6,5,1,15
6867,D,Valle,Como,13,11,2.0,2.167,6,6,0,13
770,D,Pezzella Giu.,Cremonese,13,19,-6.0,2.167,6,5,1,13
4904,D,Marì,Fiorentina,13,,,2.167,6,7,-1,13
4502,D,Gallo,Lecce,15,13,2.0,2.500,6,5,1,15
7143,D,Angori,Pisa,17,,,2.833,6,5,1,17
4657,D,Celik,Roma,16,15,-2.0,1.857,7,8,-1,13
5851,D,Doig,Sassuolo,17,,,2.833,6,6,0,17
4385,D,Lazaro,Torino,19,23,-4.0,3.167,6,7,-1,19
5820,D,Bertola,Udinese,11,,,1.833,6,6,0,11
6985,D,Candè,Sassuolo,14,14,0.0,2.333,6,6,0,14
7211,D,Athekame,Milan,14,,,2.333,6,6,0,14
7235,D,Troilo,Parma,13,,,2.167,6,6,0,13
7253,D,Bella-Kotchap,Verona,14,,,2.333,6,6,0,14
2653,D,Lykogiannis,Bologna,12,13,-1.0,2.400,5,5,0,12
7131,D,Floriani Mussolini,Cremonese,9,,,1.800,5,5,0,9
5603,D,Pongracic,Fiorentina,16,13,3.0,3.200,5,5,0,16
5449,D,Parisi,Fiorentina,10,13,-2.0,2.750,4,4,0,11
5812,D,Terracciano F.,Cremonese,13,9,4.0,2.600,5,2,3,13
6663,D,Circati,Parma,13,9,4.0,2.600,5,5,0,13
2273,D,Caracciolo A.,Pisa,12,,,2.400,5,4,1,12
7155,D,Muharemovic,Sassuolo,12,,,2.400,5,5,0,12
4374,D,Walukiewicz,Sassuolo,12,12,-1.0,1.833,6,6,0,11
6047,D,Ehizibue,Udinese,15,11,4.0,3.000,5,5,0,15
6894,D,Unai Nunez,Verona,10,,,2.000,5,5,0,10
5750,D,Ostigard,Genoa,13,,,2.600,5,5,0,13
6869,D,Ramon,Como,13,,,2.600,5,4,1,13
7212,D,Heggem,Bologna,13,,,1.833,6,5,1,11
4137,D,Diego Carlos,Como,10,,,2.000,5,5,0,10
388,D,Albiol,Pisa,10,,,2.000,5,5,0,10
6832,D,Palestra,Cagliari,7,4,4.0,2.667,3,2,1,8
5498,D,Casale,Bologna,8,9,-1.0,2.000,4,4,0,8
6066,D,Posch,Como,12,13,-3.0,1.667,6,6,0,10
487,D,De Silvestri,Bologna,10,11,-1.0,2.500,4,4,0,10
5701,D,Obert,Cagliari,11,10,0.0,2.500,4,4,0,10
6230,D,Dossena,Como,11,10,1.0,2.750,4,4,0,11
418,D,Goldaniga,Como,6,13,-7.0,1.500,4,4,0,6
6896,D,Van Der Brempt,Como,8,8,0.0,2.000,4,4,0,8
612,D,Bianchetti,Cremonese,4,,,1.000,4,3,1,4
7130,D,Folino,Cremonese,9,,,2.250,4,4,0,9
1891,D,Ceccherini,Cremonese,12,,,2.750,4,4,0,11
5718,D,Viti,Fiorentina,9,12,-3.0,2.250,4,4,0,9
6660,D,Marcandalli,Genoa,2,7,-5.0,0.500,4,3,1,2
6814,D,Norton-Cuffy,Genoa,11,6,5.0,2.750,4,3,1,11
791,D,Sabelli,Genoa,13,9,2.0,2.750,4,5,-1,11
2525,D,Darmian,Inter,16,15,-1.0,3.500,4,5,-1,14
6039,D,Cabal,Juventus,11,8,2.0,2.500,4,5,-1,10
5899,D,Gigot,Lazio,7,13,-6.0,1.750,4,4,0,7
7012,D,Provstgaard,Lazio,5,5,0.0,1.250,4,3,1,5
327,D,Patric,Lazio,8,5,2.0,1.750,4,4,0,7
2263,D,Lazzari,Lazio,11,10,1.0,2.750,4,4,0,11
2728,D,Pellegrini Lu.,Lazio,8,13,-5.0,2.000,4,3,1,8
7136,D,Kouassi,Lecce,12,,,2.000,5,5,0,10
256,D,Juan Jesus,Napoli,17,9,5.0,3.500,4,3,1,14
5307,D,Valenti,Parma,11,12,-1.0,2.750,4,4,0,11
7139,D,Canestrelli,Pisa,12,,,3.000,4,3,1,12
6411,D,Mateus Lusuardi,Pisa,7,,,1.750,4,4,0,7
2745,D,Calabresi,Pisa,9,,,1.600,5,4,1,8
4807,D,Hermoso,Roma,15,,,3.750,4,3,1,15
6986,D,Rensch,Roma,16,10,3.0,2.167,6,6,0,13
2279,D,Romagna,Sassuolo,9,,,2.250,4,4,0,9
6426,D,Pedersen,Torino,9,9,0.0,2.250,4,4,0,9
6211,D,Zemura,Udinese,8,11,-3.0,2.000,4,3,1,8
6631,D,Ghilardi,Roma,11,10,1.0,2.750,4,4,0,11
6957,D,Valentini N.,Verona,9,10,-1.0,2.250,4,4,0,9
5994,D,Ebosse,Verona,13,,,2.200,5,5,0,11
5532,D,Bradaric,Verona,8,12,-4.0,2.000,4,4,0,8
7202,D,Ndiaye,Parma,10,,,2.500,4,4,0,10
6537,D,Goglichidze,Udinese,11,14,-4.0,2.500,4,4,0,10
7220,D,Belghali,Verona,12,,,3.000,4,4,0,12
7018,D,Nelsson,Verona,10,8,2.0,2.500,4,5,-1,10
7240,D,Siebert,Lecce,11,,,2.750,4,5,-1,11
5168,D,Tsimikas,Roma,8,,,2.000,4,4,0,8
6351,D,Lamptey,Fiorentina,10,,,1.600,5,5,0,8
6870,D,Faye,Cremonese,9,,,2.250,4,4,0,9
7274,D,Zè Pedro,Cagliari,9,,,2.250,4,4,0,9
7125,D,Idrissi R.,Cagliari,7,,,2.333,3,3,0,7
5435,D,Moreno Alb.,Como,7,12,-5.0,2.333,3,3,0,7
6013,D,Barbieri,Cremonese,9,,,2.000,4,4,0,8
7069,D,Fortini,Fiorentina,4,,,1.667,3,3,0,5
294,D,Rugani,Juventus,5,,,1.667,3,3,0,5
140,D,Hysaj,Lazio,6,6,0.0,2.000,3,3,0,6
6883,D,Jean,Lecce,3,10,-7.0,1.000,3,3,0,3
6496,D,Bartesaghi,Milan,5,5,0.0,1.667,3,3,0,5
6809,D,Marianucci,Napoli,9,10,-1.0,3.000,3,3,0,9
5527,D,Zanoli,Udinese,8,16,-8.0,2.667,3,3,0,8
5481,D,Mazzocchi,Napoli,6,8,-3.0,1.667,3,3,0,5
5353,D,Balogh,Parma,7,10,-3.0,2.333,3,3,0,7
6965,D,Lovik,Parma,11,5,6.0,3.667,3,2,1,11
7154,D,Odenthal,Sassuolo,8,,,2.667,3,3,0,8
6041,D,Schuurs,Torino,5,7,-2.0,1.667,3,3,0,5
4263,D,Kabasele,Udinese,6,7,-1.0,2.000,3,3,0,6
6900,D,Rui Modesto,Udinese,4,14,-8.0,3.000,2,2,0,6
6639,D,Frese,Verona,9,5,4.0,3.000,3,3,0,9
7260,D,Ziolkowski,Roma,7,,,2.333,3,3,0,7
5156,D,Nkounkou,Torino,6,,,2.000,3,3,0,6
6665,D,Coulibaly W.,Sassuolo,8,,,1.500,4,4,0,6
6444,D,Bonfanti,Pisa,5,,,2.500,2,2,0,5
5406,D,Di Pardo,Cagliari,4,,,2.000,2,2,0,4
7014,D,Smolcic I.,Como,6,10,-5.0,2.500,2,2,0,5
6977,D,Otoa,Genoa,3,5,-2.0,1.500,2,2,0,3
6989,D,Tiago Gabriel,Lecce,12,1,11.0,6.000,2,1,1,12
6990,D,Veiga D.,Lecce,8,7,1.0,4.000,2,1,1,8
7156,D,Pieragnolo,Sassuolo,4,,,2.000,2,2,0,4
49,D,Masina,Torino,10,12,-4.0,2.667,3,4,-1,8
7011,D,Slotsager,Verona,5,1,4.0,2.500,2,2,0,5
6992,D,Oyegoke,Verona,5,4,0.0,2.000,2,2,0,4
7196,D,Denoon,Pisa,4,,,2.000,2,2,0,4
7222,D,Cham,Verona,1,,,0.500,2,1,1,1
7271,D,Odogu,Milan,5,,,2.500,2,2,0,5
6551,D,Ilic M.,Bologna,2,,,2.000,1,1,0,2
2847,D,Sernicola,Cremonese,1,,,1.000,1,1,0,1
6803,D,Rouhi,Juventus,4,6,-2.0,4.000,1,1,0,4
7164,D,Perez M.,Lecce,1,,,1.000,1,1,0,1
7182,D,Ndaba,Lecce,2,,,2.000,1,1,0,2
7140,D,Coppola F.,Pisa,4,,,4.000,1,1,0,4
7170,D,Mbambi,Pisa,2,,,2.000,1,1,0,2
7142,D,Esteves T.,Pisa,2,,,2.000,1,1,0,2
6431,D,Paz Y.,Sassuolo,5,,,5.000,1,1,0,5
6826,D,Dembelè A.,Torino,3,,,3.000,1,1,0,3
6925,D,Palma,Udinese,7,,,7.000,1,1,0,7
7238,D,Kouadio,Fiorentina,1,,,1.000,1,1,0,1
7255,D,Britschgi,Parma,2,,,2.000,1,1,0,2
7268,D,Rodriguez Ju.,Cagliari,1,,,1.000,1,1,0,1
2167,C,Orsolini,Bologna,218,245,-27.0,7.517,29,29,0,218
2423,C,Pulisic,Milan,218,231,-13.0,7.786,28,28,0,218
632,C,Zaccagni,Lazio,206,170,36.0,8.240,25,25,0,206
4777,C,McTominay,Napoli,208,217,-9.0,8.000,26,26,0,208
5800,C,Gudmundsson A.,Fiorentina,156,42,114.0,6.783,23,23,0,156
2517,C,De Bruyne,Napoli,139,,,6.318,22,22,0,139
2379,C,Rabiot,Milan,145,,,6.304,23,23,0,145
2194,C,Calhanoglu,Inter,153,116,27.0,6.217,23,24,-1,143
6875,C,Paz N.,Como,132,100,32.0,6.286,21,20,1,132
5761,C,Zhegrova,Juventus,80,,,4.211,19,19,0,80
6884,C,Conceicao,Juventus,81,25,56.0,4.765,17,17,0,81
5562,C,Thuram K.,Juventus,67,53,4.0,3.353,17,17,0,57
4220,C,Zambo Anguissa,Napoli,73,92,-29.0,3.706,17,16,1,63
536,C,Politano,Napoli,65,70,-5.0,4.333,15,14,1,65
2765,C,Odgaard,Bologna,67,46,21.0,4.786,14,15,-1,67
1933,C,Mandragora,Fiorentina,35,43,-13.0,2.000,15,14,1,30
2670,C,Bailey,Roma,51,,,3.643,14,15,-1,51
5792,C,Ederson D.S.,Atalanta,47,,,2.800,15,16,-1,42
1870,C,Barella,Inter,55,55,0.0,3.929,14,14,0,55
5685,C,Koopmeiners,Juventus,35,35,0.0,2.500,14,14,0,35
5589,C,Konè M.,Roma,46,,,2.733,15,15,0,41
5687,C,Vlasic,Torino,36,48,-9.0,3.000,13,14,-1,39
6844,C,Rowe,Bologna,49,,,3.500,14,14,0,49
7133,C,Vandeputte,Cremonese,36,,,2.769,13,12,1,36
2848,C,Frattesi,Inter,37,27,10.0,2.846,13,14,-1,37
827,C,Locatelli,Juventus,55,34,16.0,3.571,14,13,1,50
6398,C,Isaksen,Lazio,38,31,7.0,2.923,13,14,-1,38
2606,C,Modric,Milan,42,,,3.231,13,12,1,42
6831,C,Neres,Napoli,33,38,-8.0,2.308,13,13,0,30
22,C,De Roon,Atalanta,37,43,-11.0,2.462,13,13,0,32
5559,C,Da Cunha,Como,36,36,-3.0,2.538,13,13,0,33
4186,C,Guendouzi,Lazio,23,21,2.0,1.917,12,11,1,23
4892,C,Saelemaekers,Milan,43,72,-32.0,2.857,14,14,0,40
6984,C,Ondrejka,Parma,15,38,-23.0,1.364,11,12,-1,15
5318,C,Tramoni M.,Pisa,41,,,3.417,12,12,0,41
5888,C,Casadei,Torino,28,24,4.0,2.333,12,12,0,28
7203,C,Jashari,Milan,23,,,1.917,12,13,-1,23
6218,C,Oristanio,Parma,38,26,12.0,3.167,12,12,0,38
2077,C,Pasalic,Atalanta,28,27,1.0,2.545,11,9,2,28
5119,C,Samardzic,Atalanta,22,10,15.0,2.500,10,11,-1,25
788,C,Freuler,Bologna,28,28,-5.0,1.917,12,12,0,23
5036,C,Caqueret,Como,19,31,-12.0,1.727,11,12,-1,19
449,C,Vazquez,Cremonese,24,,,2.182,11,10,1,24
6010,C,Fazzini,Fiorentina,22,61,-39.0,2.000,11,11,0,22
6722,C,Gronbaek,Genoa,32,,,2.909,11,12,-1,32
6106,C,Carboni V.,Genoa,29,,,2.636,11,11,0,29
6629,C,Dele-Bashiru,Lazio,31,17,14.0,2.818,11,11,0,31
4686,C,Fofana Y.,Milan,36,21,10.0,2.583,12,12,0,31
6666,C,Bernabè,Parma,36,,,3.273,11,11,0,36
5319,C,Sohm,Fiorentina,34,28,6.0,3.091,11,12,-1,34
5561,C,Stengs,Pisa,35,,,3.182,11,11,0,35
4479,C,Elmas,Napoli,25,71,-46.0,2.273,11,11,0,25
2766,C,Zaniolo,Udinese,25,11,16.0,2.700,10,10,0,27
6206,C,Fabbian,Bologna,17,16,1.0,1.700,10,10,0,17
5858,C,Ferguson,Bologna,23,18,5.0,2.300,10,11,-1,23
6549,C,Pierotti,Lecce,18,19,1.0,2.222,9,9,0,20
5453,C,Ricci S.,Milan,27,21,1.0,2.000,11,11,0,22
779,C,Cristante,Roma,25,32,-9.0,2.300,10,9,1,23
530,C,Pellegrini Lo.,Roma,20,15,5.0,2.000,10,11,-1,20
6684,C,Ekkelenkamp,Udinese,21,24,-3.0,2.100,10,10,0,21
2839,C,Sottil,Lecce,22,12,10.0,2.444,9,10,-1,22
6252,C,Folorunsho,Cagliari,27,14,13.0,3.000,9,9,0,27
7132,C,Collocolo,Cremonese,28,,,2.300,10,9,1,23
5791,C,Frendrup,Genoa,24,20,1.0,2.100,10,10,0,21
7070,C,Sucic P.,Inter,26,,,2.889,9,9,0,26
2529,C,Mkhitaryan,Inter,35,26,9.0,3.889,9,9,0,35
4973,C,McKennie,Juventus,19,26,-12.0,1.400,10,11,-1,14
6634,C,Tete Morente,Lecce,17,25,-6.0,2.375,8,8,0,19
4199,C,Loftus-Cheek,Milan,21,8,13.0,2.333,9,8,1,21
4287,C,Lobotka,Napoli,29,21,3.0,2.400,10,10,0,24
6271,C,El Aynaoui,Roma,27,,,2.444,9,9,0,22
6889,C,Anjorin,Torino,23,27,-4.0,2.556,9,10,-1,23
5850,C,Lovric,Udinese,25,23,2.0,2.778,9,9,0,25
4349,C,Nicolussi Caviglia,Fiorentina,28,46,-23.0,2.300,10,10,0,23
4896,C,Maldini,Atalanta,24,34,-10.0,3.429,7,8,-1,24
184,C,Bernardeschi,Bologna,22,,,3.143,7,8,-1,22
4364,C,Gaetano,Cagliari,14,16,1.0,2.125,8,7,1,17
6151,C,Perrone,Como,21,18,1.0,2.111,9,9,0,19
7126,C,Baturina,Como,18,,,3.000,7,8,-1,21
4465,C,Fagioli,Fiorentina,21,22,-1.0,2.625,8,8,0,21
4427,C,Malinovskyi,Genoa,19,20,-1.0,2.375,8,8,0,19
7135,C,Stanciu,Genoa,26,,,3.250,8,8,0,26
4459,C,Rovella,Lazio,24,23,-1.0,2.444,9,9,0,22
5504,C,Coulibaly L.,Lecce,16,20,-6.0,1.556,9,8,1,14
795,C,El Shaarawy,Roma,17,16,3.0,2.714,7,7,0,19
6908,C,Atta,Udinese,32,13,19.0,4.000,8,6,2,32
6486,C,Suslov,Verona,14,18,-4.0,1.750,8,9,-1,14
4947,C,Brescianini,Atalanta,23,23,0.0,3.286,7,8,-1,23
5298,C,Pobega,Bologna,24,19,3.0,2.750,8,9,-1,22
4970,C,Messias,Genoa,12,12,0.0,1.714,7,8,-1,12
5422,C,Zalewski,Atalanta,28,15,10.0,3.571,7,6,1,25
6394,C,Ramadani,Lecce,12,10,1.0,1.571,7,7,0,11
5872,C,Helgason,Lecce,15,22,-7.0,2.143,7,8,-1,15
7146,C,Tourè I.,Pisa,26,,,2.875,8,7,1,23
5823,C,Baldanzi,Roma,16,14,2.0,2.286,7,8,-1,16
5844,C,Thorstvedt,Sassuolo,22,,,3.143,7,8,-1,22
5007,C,Ilic,Torino,12,9,3.0,1.714,7,7,0,12
6680,C,Karlstrom,Udinese,15,21,-7.0,2.000,7,6,1,14
5688,C,Harroui,Verona,14,20,-6.0,2.000,7,7,0,14
7254,C,Lorran,Pisa,13,,,2.500,6,6,0,15
4677,C,Cornet,Genoa,20,13,7.0,2.857,7,7,0,20
4870,C,Adopo,Cagliari,15,14,0.0,2.000,7,6,1,14
1871,C,Deiola,Cagliari,12,11,0.0,1.833,6,5,1,11
6640,C,Felici,Cagliari,8,13,-5.0,2.000,4,5,-1,8
2274,C,Valoti,Cremonese,3,,,0.500,6,7,-1,3
6917,C,Masini,Genoa,17,18,-4.0,2.333,6,5,1,14
6020,C,Ellertsson,Genoa,13,18,-5.0,2.167,6,5,1,13
5301,C,Luis Henrique,Inter,15,,,2.333,6,7,-1,14
181,C,Vecino,Lazio,15,11,3.0,2.333,6,6,0,14
5457,C,Maleh,Lecce,8,10,-4.0,1.000,6,7,-1,6
6633,C,Pierret,Lecce,13,12,0.0,2.000,6,7,-1,12
5295,C,Musah,Atalanta,9,14,-5.0,1.500,6,6,0,9
5131,C,Gilmour,Napoli,12,17,-5.0,2.000,6,7,-1,12
6898,C,Keita M.,Parma,12,14,-4.0,1.667,6,7,-1,10
4423,C,Hernani,Parma,18,23,-5.0,3.000,6,7,-1,18
7145,C,Piccinini G.,Pisa,11,,,1.286,7,7,0,9
7149,C,Marin M.,Pisa,14,,,1.833,6,6,0,11
6190,C,Pisilli,Roma,15,12,3.0,2.500,6,7,-1,15
6219,C,Boloca,Sassuolo,17,,,2.333,6,6,0,14
6815,C,Fadera,Sassuolo,10,13,0.0,2.600,5,5,0,13
5735,C,Volpato,Sassuolo,15,,,2.167,6,5,1,13
6458,C,Serdar,Verona,12,12,0.0,2.000,6,5,1,12
7198,C,Piotrowski,Udinese,12,,,2.000,6,6,0,12
7209,C,Sorensen O.,Parma,13,,,2.167,6,6,0,13
6274,C,Diouf,Inter,16,,,2.667,6,7,-1,16
4404,C,Thorsby,Genoa,12,10,2.0,2.400,5,5,0,12
4711,C,Kostic,Juventus,8,,,1.167,6,5,1,7
6191,C,Belahyane,Lazio,6,11,-6.0,1.000,5,4,1,5
333,C,Cataldi,Lazio,13,15,-5.0,2.000,5,5,0,10
5998,C,Zerbin,Cremonese,31,20,8.0,5.600,5,3,2,28
