Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
7143,D,Ds;E,Angori,Pisa,6,5,1,6,5,1,17,17,,
4657,D,B;Dd;E,Celik,Roma,6,7,-1,7,8,-1,13,16,15,-2.0
5851,D,Ds;E,Doig,Sassuolo,6,6,0,6,6,0,17,17,,
4385,D,Dd;E,Lazaro,Torino,6,7,-1,6,7,-1,19,19,23,-4.0
5820,D,Dc,Bertola,Udinese,6,6,0,6,6,0,11,11,,
6985,D,Ds;Dc,Candè,Sassuolo,6,6,0,6,6,0,14,14,14,0.0
7211,D,Dd;E,Athekame,Milan,6,6,0,6,6,0,14,14,,
7235,D,Dc,Troilo,Parma,6,6,0,6,6,0,13,13,,
7253,D,Dc,Bella-Kotchap,Verona,6,6,0,6,6,0,14,14,,
2653,D,Ds;E,Lykogiannis,Bologna,5,5,0,5,5,0,12,12,13,-1.0
7131,D,Dd;E,Floriani Mussolini,Cremonese,5,5,0,5,5,0,9,9,,
5603,D,Dc,Pongracic,Fiorentina,5,5,0,5,5,0,16,16,13,3.0
5449,D,E,Parisi,Fiorentina,5,5,0,4,4,0,11,10,13,-2.0
5812,D,Dd;Ds;E,Terracciano F.,Cremonese,5,2,3,5,2,3,13,13,9,4.0
6663,D,Dc,Circati,Parma,5,5,0,5,5,0,13,13,9,4.0
2273,D,Dc,Caracciolo A.,Pisa,5,4,1,5,4,1,12,12,,
7155,D,Dc,Muharemovic,Sassuolo,5,5,0,5,5,0,12,12,,
4374,D,Dd;Dc,Walukiewicz,Sassuolo,5,5,0,6,6,0,11,12,12,-1.0
6047,D,Dd;E,Ehizibue,Udinese,5,5,0,5,5,0,15,15,11,4.0
6894,D,Dc,Unai Nunez,Verona,5,5,0,5,5,0,10,10,,
5750,D,Dc,Ostigard,Genoa,5,5,0,5,5,0,13,13,,
6869,D,Dc,Ramon,Como,5,4,1,5,4,1,13,13,,
7212,D,Ds;Dc,Heggem,Bologna,5,4,1,6,5,1,11,13,,
4137,D,Dc,Diego Carlos,Como,5,5,0,5,5,0,10,10,,
388,D,Dc,Albiol,Pisa,5,5,0,5,5,0,10,10,,
6832,D,E,Palestra,Cagliari,4,3,1,3,2,1,8,7,4,4.0
5498,D,Dc,Casale,Bologna,4,4,0,4,4,0,8,8,9,-1.0
6066,D,Dd;Dc,Posch,Como,4,5,-1,6,6,0,10,12,13,-3.0
487,D,Dd;E,De Silvestri,Bologna,4,4,0,4,4,0,10,10,11,-1.0
5701,D,Ds;Dc,Obert,Cagliari,4,4,0,4,4,0,10,11,10,0.0
6230,D,Dc,Dossena,Como,4,4,0,4,4,0,11,11,10,1.0
418,D,Dc,Goldaniga,Como,4,4,0,4,4,0,6,6,13,-7.0
6896,D,Dd;E,Van Der Brempt,Como,4,4,0,4,4,0,8,8,8,0.0
612,D,Dc,Bianchetti,Cremonese,4,3,1,4,3,1,4,4,,
7130,D,Dc,Folino,Cremonese,4,4,0,4,4,0,9,9,,
1891,D,Dd;Dc,Ceccherini,Cremonese,4,4,0,4,4,0,11,12,,
5718,D,Dc,Viti,Fiorentina,4,4,0,4,4,0,9,9,12,-3.0
6660,D,Dc,Marcandalli,Genoa,4,3,1,4,3,1,2,2,7,-5.0
6814,D,Dd;E,Norton-Cuffy,Genoa,4,3,1,4,3,1,11,11,6,5.0
791,D,Dd;Ds;E,Sabelli,Genoa,4,5,-1,4,5,-1,11,13,9,2.0
2525,D,B;Dd;E,Darmian,Inter,4,4,0,4,5,-1,14,16,15,-1.0
6039,D,B;Ds;E,Cabal,Juventus,4,5,-1,4,5,-1,10,11,8,2.0
5899,D,Dc,Gigot,Lazio,4,4,0,4,4,0,7,7,13,-6.0
7012,D,Dc,Provstgaard,Lazio,4,3,1,4,3,1,5,5,5,0.0
327,D,Dd;Dc,Patric,Lazio,4,4,0,4,4,0,7,8,5,2.0
2263,D,Dd;E,Lazzari,Lazio,4,4,0,4,4,0,11,11,10,1.0
2728,D,Ds;E,Pellegrini Lu.,Lazio,4,3,1,4,3,1,8,8,13,-5.0
7136,D,Dd;Dc,Kouassi,Lecce,4,4,0,5,5,0,10,12,,
256,D,Ds;Dc,Juan Jesus,Napoli,4,3,1,4,3,1,14,17,9,5.0
5307,D,Dc,Valenti,Parma,4,4,0,4,4,0,11,11,12,-1.0
7139,D,Dc,Canestrelli,Pisa,4,3,1,4,3,1,12,12,,
6411,D,Dc,Mateus Lusuardi,Pisa,4,4,0,4,4,0,7,7,,
2745,D,B;Dd;E,Calabresi,Pisa,4,3,1,5,4,1,8,9,,
4807,D,Dc,Hermoso,Roma,4,3,1,4,3,1,15,15,,
6986,D,B;Dd;E,Rensch,Roma,4,5,-1,6,6,0,13,16,10,3.0
2279,D,Dc,Romagna,Sassuolo,4,4,0,4,4,0,9,9,,
6426,D,Dd;E,Pedersen,Torino,4,4,0,4,4,0,9,9,9,0.0
6211,D,Ds;E,Zemura,Udinese,4,3,1,4,3,1,8,8,11,-3.0
6631,D,Dc,Ghilardi,Roma,4,4,0,4,4,0,11,11,10,1.0
6957,D,Dc,Valentini N.,Verona,4,4,0,4,4,0,9,9,10,-1.0
5994,D,Ds;Dc,Ebosse,Verona,4,4,0,5,5,0,11,13,,
5532,D,Ds;E,Bradaric,Verona,4,4,0,4,4,0,8,8,12,-4.0
7202,D,Dc,Ndiaye,Parma,4,4,0,4,4,0,10,10,,
6537,D,Dd;Dc,Goglichidze,Udinese,4,4,0,4,4,0,10,11,14,-4.0
7220,D,Dd;E,Belghali,Verona,4,4,0,4,4,0,12,12,,
7018,D,Dc,Nelsson,Verona,4,5,-1,4,5,-1,10,10,8,2.0
7240,D,Dc,Siebert,Lecce,4,5,-1,4,5,-1,11,11,,
5168,D,Ds;E,Tsimikas,Roma,4,4,0,4,4,0,8,8,,
6351,D,Dd;Ds;E,Lamptey,Fiorentina,4,4,0,5,5,0,8,10,,
6870,D,Dc,Faye,Cremonese,4,4,0,4,4,0,9,9,,
7274,D,Dc,Zè Pedro,Cagliari,4,4,0,4,4,0,9,9,,
7125,D,Ds;E,Idrissi R.,Cagliari,3,3,0,3,3,0,7,7,,
5435,D,Ds;E,Moreno Alb.,Como,3,3,0,3,3,0,7,7,12,-5.0
6013,D,Dd;Ds;E,Barbieri,Cremonese,3,3,0,4,4,0,8,9,,
7069,D,E,Fortini,Fiorentina,3,3,0,3,3,0,5,4,,
294,D,Dc,Rugani,Juventus,3,3,0,3,3,0,5,5,,
140,D,Dd;Ds;E,Hysaj,Lazio,3,3,0,3,3,0,6,6,6,0.0
6883,D,Dc,Jean,Lecce,3,3,0,3,3,0,3,3,10,-7.0
6496,D,Ds;E,Bartesaghi,Milan,3,3,0,3,3,0,5,5,5,0.0
6809,D,Dc,Marianucci,Napoli,3,3,0,3,3,0,9,9,10,-1.0
5527,D,Dd;E,Zanoli,Udinese,3,3,0,3,3,0,8,8,16,-8.0
5481,D,Dd;Ds;E,Mazzocchi,Napoli,3,3,0,3,3,0,5,6,8,-3.0
5353,D,Dc,Balogh,Parma,3,3,0,3,3,0,7,7,10,-3.0
6965,D,Ds;E,Lovik,Parma,3,2,1,3,2,1,11,11,5,6.0
7154,D,Dc,Odenthal,Sassuolo,3,3,0,3,3,0,8,8,,
6041,D,Dc,Schuurs,Torino,3,3,0,3,3,0,5,5,7,-2.0
4263,D,Dc,Kabasele,Udinese,3,3,0,3,3,0,6,6,7,-1.0
6900,D,E,Rui Modesto,Udinese,3,3,0,2,2,0,6,4,14,-8.0
6639,D,Ds;E,Frese,Verona,3,3,0,3,3,0,9,9,5,4.0
7260,D,Dc,Ziolkowski,Roma,3,3,0,3,3,0,7,7,,
5156,D,Ds;E,Nkounkou,Torino,3,3,0,3,3,0,6,6,,
6665,D,Dd;Ds;E,Coulibaly W.,Sassuolo,3,3,0,4,4,0,6,8,,
6444,D,Dc,Bonfanti,Pisa,2,2,0,2,2,0,5,5,,
5406,D,Dd;E,Di Pardo,Cagliari,2,2,0,2,2,0,4,4,,
7014,D,Dd;Dc,Smolcic I.,Como,2,2,0,2,2,0,5,6,10,-5.0
6977,D,Dc,Otoa,Genoa,2,2,0,2,2,0,3,3,5,-2.0
6989,D,Dc,Tiago Gabriel,Lecce,2,1,1,2,1,1,12,12,1,11.0
6990,D,Dd;E,Veiga D.,Lecce,2,1,1,2,1,1,8,8,7,1.0
7156,D,Ds;E,Pieragnolo,Sassuolo,2,2,0,2,2,0,4,4,,
49,D,B;Ds;E,Masina,Torino,2,3,-1,3,4,-1,8,10,12,-4.0
7011,D,Dc,Slotsager,Verona,2,2,0,2,2,0,5,5,1,4.0
6992,D,B;Dd;E,Oyegoke,Verona,2,2,0,2,2,0,4,5,4,0.0
7196,D,Dc,Denoon,Pisa,2,2,0,2,2,0,4,4,,
7222,D,Dd;Ds;E,Cham,Verona,2,1,1,2,1,1,1,1,,
7271,D,Dc,Odogu,Milan,2,2,0,2,2,0,5,5,,
6551,D,Dc,Ilic M.,Bologna,1,1,0,1,1,0,2,2,,
2847,D,Dd;Ds;E,Sernicola,Cremonese,1,1,0,1,1,0,1,1,,
6803,D,Ds;E,Rouhi,Juventus,1,1,0,1,1,0,4,4,6,-2.0
7164,D,Dd;Dc,Perez M.,Lecce,1,1,0,1,1,0,1,1,,
7182,D,Ds;E,Ndaba,Lecce,1,1,0,1,1,0,2,2,,
7140,D,Dc,Coppola F.,Pisa,1,1,0,1,1,0,4,4,,
7170,D,Dc,Mbambi,Pisa,1,1,0,1,1,0,2,2,,
7142,D,Dd;E,Esteves T.,Pisa,1,1,0,1,1,0,2,2,,
6431,D,Dd;E,Paz Y.,Sassuolo,1,1,0,1,1,0,5,5,,
6826,D,Dd;E,Dembelè A.,Torino,1,1,0,1,1,0,3,3,,
6925,D,Dc,Palma,Udinese,1,1,0,1,1,0,7,7,,
7238,D,Dc,Kouadio,Fiorentina,1,1,0,1,1,0,1,1,,
7255,D,Dd;Ds;E,Britschgi,Parma,1,1,0,1,1,0,2,2,,
7268,D,Ds;Dc,Rodriguez Ju.,Cagliari,1,1,0,1,1,0,1,1,,
2167,C,W;A,Orsolini,Bologna,30,30,0,29,29,0,218,218,245,-27.0
2423,C,T;A,Pulisic,Milan,28,28,0,28,28,0,218,218,231,-13.0
632,C,W;A,Zaccagni,Lazio,26,26,0,25,25,0,206,206,170,36.0
4777,C,C;T,McTominay,Napoli,26,26,0,26,26,0,208,208,217,-9.0
5800,C,T;A,Gudmundsson A.,Fiorentina,24,24,0,23,23,0,156,156,42,114.0
2517,C,T,De Bruyne,Napoli,23,23,0,22,22,0,139,139,,
2379,C,C;T,Rabiot,Milan,23,23,0,23,23,0,145,145,,
2194,C,M;C,Calhanoglu,Inter,22,23,-1,23,24,-1,143,153,116,27.0
6875,C,T;A,Paz N.,Como,21,20,1,21,20,1,132,132,100,32.0
5761,C,W,Zhegrova,Juventus,19,19,0,19,19,0,80,80,,
6884,C,W;A,Conceicao,Juventus,18,18,0,17,17,0,81,81,25,56.0
5562,C,M;C,Thuram K.,Juventus,16,16,0,17,17,0,57,67,53,4.0
4220,C,M;C,Zambo Anguissa,Napoli,16,15,1,17,16,1,63,73,92,-29.0
536,C,W,Politano,Napoli,16,15,1,15,14,1,65,65,70,-5.0
2765,C,T;A,Odgaard,Bologna,15,16,-1,14,15,-1,67,67,46,21.0
1933,C,M;C,Mandragora,Fiorentina,15,14,1,15,14,1,30,35,43,-13.0
2670,C,W;A,Bailey,Roma,15,16,-1,14,15,-1,51,51,,
5792,C,M;C,Ederson D.S.,Atalanta,14,15,-1,15,16,-1,42,47,,
1870,C,C,Barella,Inter,14,14,0,14,14,0,55,55,55,0.0
5685,C,C;T,Koopmeiners,Juventus,14,14,0,14,14,0,35,35,35,0.0
5589,C,M;C,Konè M.,Roma,14,14,0,15,15,0,41,46,,
5687,C,T,Vlasic,Torino,14,15,-1,13,14,-1,39,36,48,-9.0
6844,C,W;T,Rowe,Bologna,14,14,0,14,14,0,49,49,,
7133,C,W;T,Vandeputte,Cremonese,13,12,1,13,12,1,36,36,,
2848,C,C;T,Frattesi,Inter,13,14,-1,13,14,-1,37,37,27,10.0
827,C,M;C,Locatelli,Juventus,13,12,1,14,13,1,50,55,34,16.0
6398,C,W;A,Isaksen,Lazio,13,14,-1,13,14,-1,38,38,31,7.0
2606,C,C,Modric,Milan,13,12,1,13,12,1,42,42,,
6831,C,W;A,Neres,Napoli,13,13,0,13,13,0,30,33,38,-8.0
22,C,M;C,De Roon,Atalanta,12,12,0,13,13,0,32,37,43,-11.0
5559,C,C;W;T,Da Cunha,Como,12,12,0,13,13,0,33,36,36,-3.0
4186,C,C,Guendouzi,Lazio,12,11,1,12,11,1,23,23,21,2.0
4892,C,E;W,Saelemaekers,Milan,12,12,0,14,14,0,40,43,72,-32.0
6984,C,W;A,Ondrejka,Parma,12,13,-1,11,12,-1,15,15,38,-23.0
5318,C,W;T,Tramoni M.,Pisa,12,12,0,12,12,0,41,41,,
5888,C,C;T,Casadei,Torino,12,12,0,12,12,0,28,28,24,4.0
7203,C,C,Jashari,Milan,12,13,-1,12,13,-1,23,23,,
6218,C,W;T;A,Oristanio,Parma,12,12,0,12,12,0,38,38,26,12.0
2077,C,C;T,Pasalic,Atalanta,11,9,2,11,9,2,28,28,27,1.0
5119,C,T,Samardzic,Atalanta,11,12,-1,10,11,-1,25,22,10,15.0
788,C,M;C,Freuler,Bologna,11,11,0,12,12,0,23,28,28,-5.0
5036,C,C;T,Caqueret,Como,11,12,-1,11,12,-1,19,19,31,-12.0
449,C,T;A,Vazquez,Cremonese,11,10,1,11,10,1,24,24,,
6010,C,C;T,Fazzini,Fiorentina,11,11,0,11,11,0,22,22,61,-39.0
6722,C,W;T,Gronbaek,Genoa,11,12,-1,11,12,-1,32,32,,
6106,C,T;A,Carboni V.,Genoa,11,11,0,11,11,0,29,29,,
6629,C,C;T,Dele-Bashiru,Lazio,11,11,0,11,11,0,31,31,17,14.0
4686,C,M;C,Fofana Y.,Milan,11,11,0,12,12,0,31,36,21,10.0
6666,C,C,Bernabè,Parma,11,11,0,11,11,0,36,36,,
5319,C,C,Sohm,Fiorentina,11,12,-1,11,12,-1,34,34,28,6.0
5561,C,W;T,Stengs,Pisa,11,11,0,11,11,0,35,35,,
4479,C,W;T,Elmas,Napoli,11,11,0,11,11,0,25,25,71,-46.0
2766,C,T;A,Zaniolo,Udinese,11,11,0,10,10,0,27,25,11,16.0
6206,C,C;T,Fabbian,Bologna,10,10,0,10,10,0,17,17,16,1.0
5858,C,C;T,Ferguson,Bologna,10,11,-1,10,11,-1,23,23,18,5.0
6549,C,W;A,Pierotti,Lecce,10,10,0,9,9,0,20,18,19,1.0
5453,C,M;C,Ricci S.,Milan,10,10,0,11,11,0,22,27,21,1.0
779,C,M;C,Cristante,Roma,10,9,1,10,9,1,23,25,32,-9.0
530,C,C;T,Pellegrini Lo.,Roma,10,11,-1,10,11,-1,20,20,15,5.0
6684,C,C;T,Ekkelenkamp,Udinese,10,10,0,10,10,0,21,21,24,-3.0
2839,C,W;A,Sottil,Lecce,10,11,-1,9,10,-1,22,22,12,10.0
6252,C,C;T,Folorunsho,Cagliari,9,9,0,9,9,0,27,27,14,13.0
7132,C,M;C,Collocolo,Cremonese,9,8,1,10,9,1,23,28,,
5791,C,M;C,Frendrup,Genoa,9,9,0,10,10,0,21,24,20,1.0
7070,C,C,Sucic P.,Inter,9,9,0,9,9,0,26,26,,
2529,C,C;T,Mkhitaryan,Inter,9,9,0,9,9,0,35,35,26,9.0
4973,C,M;C,McKennie,Juventus,9,10,-1,10,11,-1,14,19,26,-12.0
6634,C,W,Tete Morente,Lecce,9,9,0,8,8,0,19,17,25,-6.0
4199,C,C;T,Loftus-Cheek,Milan,9,8,1,9,8,1,21,21,8,13.0
4287,C,M;C,Lobotka,Napoli,9,9,0,10,10,0,24,29,21,3.0
6271,C,M;C,El Aynaoui,Roma,9,9,0,9,9,0,22,27,,
6889,C,C;T,Anjorin,Torino,9,10,-1,9,10,-1,23,23,27,-4.0
